"SRR4785819"	"SRR4785820"	"SRR4785828"	"SRR4785831"	"SRR4785979"	"SRR4785980"	"SRR4785986"	"SRR4785988"
"5S_rRNA"	6	0	1	0	1	1	5	5
"A1BG"	592	104	99	90	50	453	477	421
"A1CF"	73	46	12	3	35	75	64	89
"A2M"	34308	2502	4090	3601	5826	34445	27316	24686
"A2ML1"	160	66	40	40	27	167	155	168
"A2MP1"	170	15	8	0	42	132	122	180
"A3GALT2"	1	0	0	0	1	3	0	0
"A4GALT"	2198	1126	551	433	173	218	307	1009
"A4GNT"	30	0	0	0	5	39	3	9
"AAAS"	912	166	63	122	4	181	329	35
"AACS"	2540	481	440	374	370	1436	1608	1454
"AACSP1"	73	27	2	0	18	44	65	71
"AADAC"	2	0	0	0	3	4	1	22
"AADACL2"	28	67	0	10	8	252	78	114
"AADACL3"	17	0	0	0	6	21	37	50
"AADACL4"	0	0	0	0	0	0	0	0
"AADACP1"	17	38	11	16	32	91	32	77
"AADAT"	335	48	25	26	16	155	71	145
"AAGAB"	991	256	234	165	348	1456	1815	989
"AAK1"	5102	709	701	615	1656	7872	6118	5544
"AAMDC"	525	170	161	60	65	433	559	541
"AAMP"	1490	411	266	307	38	264	37	419
"AANAT"	45	16	0	0	3	12	30	26
"AAR2"	841	194	123	136	357	1382	1274	1068
"AARD"	72	37	23	19	3	33	39	53
"AARS1"	3226	706	561	573	279	2439	1563	2125
"AARS1P1"	0	0	0	0	0	0	0	0
"AARS2"	1299	326	123	101	76	416	328	431
"AARSD1"	442	183	117	132	17	90	110	79
"AARSD1P1"	288	38	12	3	38	158	93	274
"AASDH"	631	38	68	30	58	881	1116	798
"AASDHPPT"	566	76	141	157	250	478	1619	808
"AASS"	2585	398	239	201	461	3652	3341	4520
"AATF"	2100	685	423	308	205	2009	1800	1710
"AATK"	970	161	229	76	98	370	250	657
"ABAT"	1304	130	123	138	256	1060	1130	1149
"ABCA1"	22135	1346	1064	1097	3059	29484	16341	13680
